"subnum" "trial" "step" "startx" "starty" "xtrans" "ytrans" "label" "targx" "targy" "dist" "timeout" "hit" "rt"
111 8 19 1263 716 1 -1 "MODIFIED8" 1288 651 69.6419 2000 1 1101
111 8 20 1294 442 1 -1 "MODIFIED8" 1219 358 112.61 2000 1 1171
111 8 21 1227 713 1 -1 "MODIFIED8" 1158 652 92.0978 2000 1 763
111 8 22 1156 440 1 -1 "MODIFIED8" 1128 354 90.4434 2000 1 1001
111 8 23 1134 735 1 -1 "MODIFIED8" 1296 602 209.602 2000 1 804
111 8 24 1278 483 1 -1 "MODIFIED8" 1114 363 203.214 2000 1 951
111 8 25 1121 706 1 -1 "MODIFIED8" 974 628 166.412 2000 1 961
111 8 26 972 433 1 -1 "MODIFIED8" 743 437 229.035 2000 1 481
111 8 27 758 636 1 -1 "MODIFIED8" 576 686 188.743 2000 1 922
111 8 28 574 380 1 -1 "MODIFIED8" 756 446 193.598 2000 1 881
111 8 29 752 615 1 -1 "MODIFIED8" 980 246 433.757 2000 1 1592
111 8 30 960 839 1 -1 "MODIFIED8" 721 398 501.599 2000 1 1591
111 9 1 956 977 1 -1 "MODIFIED9" 680 431 611.794 2000 1 1034
111 9 2 689 646 1 -1 "MODIFIED9" 693 730 84.0952 2000 1 1133
111 9 3 695 367 1 -1 "MODIFIED9" 566 459 158.446 2000 1 1093
111 9 4 569 603 1 -1 "MODIFIED9" 865 482 319.776 2000 1 1861
111 9 5 863 615 1 -1 "MODIFIED9" 667 257 408.142 2000 1 1191
111 9 6 665 813 1 -1 "MODIFIED9" 916 424 462.949 2000 1 865
111 9 7 922 668 1 -1 "MODIFIED9" 636 534 315.835 2000 1 652
111 9 8 641 552 1 -1 "MODIFIED9" 834 309 310.319 2000 1 812
111 9 9 841 763 1 -1 "MODIFIED9" 895 602 169.815 2000 1 741
111 9 10 877 478 1 -1 "MODIFIED9" 677 396 216.157 2000 1 1222
111 9 11 678 668 1 -1 "MODIFIED9" 773 681 95.8853 2000 1 962
111 9 12 774 415 1 -1 "MODIFIED9" 579 451 198.295 2000 1 1401
111 9 13 595 621 1 -1 "MODIFIED9" 868 371 370.174 2000 1 901
111 9 14 873 703 1 -1 "MODIFIED9" 1146 484 349.986 2000 1 612
111 9 15 1150 610 1 -1 "MODIFIED9" 1213 776 177.553 2000 1 891
111 9 16 1203 316 1 -1 "MODIFIED9" 1132 487 185.154 2000 1 1021
111 9 17 1130 600 1 -1 "MODIFIED9" 963 735 214.742 2000 1 1382
111 9 18 977 353 1 -1 "MODIFIED9" 1255 666 418.632 2000 1 1182
111 9 19 1251 431 1 -1 "MODIFIED9" 1068 431 183 2000 1 1091
111 9 20 1083 652 1 -1 "MODIFIED9" 1350 329 419.068 2000 1 1451
111 9 21 1362 757 1 -1 "MODIFIED9" 1203 590 230.586 2000 1 1072
111 9 22 1208 476 1 -1 "MODIFIED9" 908 645 344.327 2000 1 1422
111 9 23 912 452 1 -1 "MODIFIED9" 950 348 110.725 2000 1 1112
111 9 24 958 718 1 -1 "MODIFIED9" 779 594 217.754 2000 1 791
111 9 25 764 490 1 -1 "MODIFIED9" 690 308 196.469 2000 1 1192
111 9 26 695 758 1 -1 "MODIFIED9" 799 587 200.142 2000 1 732
111 9 27 780 497 1 -1 "MODIFIED9" 1033 775 375.89 2000 1 1331
111 9 28 1050 299 1 -1 "MODIFIED9" 1285 612 391.4 2000 1 691
111 9 29 1273 456 1 -1 "MODIFIED9" 1001 710 372.156 2000 1 834
111 9 30 996 376 1 -1 "MODIFIED9" 1069 417 83.7257 2000 1 741
111 10 1 996 972 1 -1 "MODIFIED10" 905 244 733.665 2000 1 1465
111 10 2 890 834 1 -1 "MODIFIED10" 606 261 639.519 2000 1 502
111 10 3 624 820 1 -1 "MODIFIED10" 878 388 501.139 2000 1 951
111 10 4 871 696 1 -1 "MODIFIED10" 747 658 129.692 2000 1 1091
111 10 5 737 438 1 -1 "MODIFIED10" 1037 580 331.91 2000 1 631
111 10 6 1038 489 1 -1 "MODIFIED10" 1333 624 324.423 2000 1 1281
111 10 7 1327 474 1 -1 "MODIFIED10" 1111 422 222.171 2000 1 552
111 10 8 1115 654 1 -1 "MODIFIED10" 861 256 472.144 2000 1 861
111 10 9 858 815 1 -1 "MODIFIED10" 1103 434 452.975 2000 1 581
111 10 10 1100 632 1 -1 "MODIFIED10" 1089 733 101.597 2000 1 981
111 10 11 1097 349 1 -1 "MODIFIED10" 1087 433 84.5931 2000 1 721
111 10 12 1077 646 1 -1 "MODIFIED10" 1341 274 456.158 2000 1 731
111 10 13 1341 792 1 -1 "MODIFIED10" 1055 364 514.762 2000 1 1291
111 10 14 1049 721 1 -1 "MODIFIED10" 1294 546 301.081 2000 1 801
111 10 15 1296 552 1 -1 "MODIFIED10" 1027 410 304.179 2000 1 772
111 10 16 1045 665 1 -1 "MODIFIED10" 1302 291 453.79 2000 1 952
111 10 17 1307 772 1 -1 "MODIFIED10" 1079 491 361.863 2000 1 592
111 10 18 1081 602 1 -1 "MODIFIED10" 1350 364 359.173 2000 1 713
111 10 19 1360 729 1 -1 "MODIFIED10" 1103 534 322.605 2000 1 902
111 10 20 1117 547 1 -1 "MODIFIED10" 806 495 315.317 2000 1 693
111 10 21 812 585 1 -1 "MODIFIED10" 798 795 210.466 2000 1 751
111 10 22 813 292 1 -1 "MODIFIED10" 1009 581 349.195 2000 1 921
111 10 23 999 489 1 -1 "MODIFIED10" 953 286 208.147 2000 1 1202
111 10 24 955 783 1 -1 "MODIFIED10" 665 371 503.829 2000 1 541
111 10 25 672 706 1 -1 "MODIFIED10" 923 525 309.454 2000 1 601
111 10 26 935 566 1 -1 "MODIFIED10" 764 270 341.844 2000 1 1161
111 10 27 782 805 1 -1 "MODIFIED10" 1064 275 600.353 2000 1 832
111 10 28 1059 820 1 -1 "MODIFIED10" 814 441 451.294 2000 1 1231
111 10 29 829 629 1 -1 "MODIFIED10" 1083 309 408.554 2000 1 1292
111 10 30 1088 754 1 -1 "MODIFIED10" 1208 582 209.724 2000 1 821
22 0 1 935 978 1 1 "normal" 926 838 140.289 2000 1 1092
22 0 2 930 842 1 1 "normal" 643 740 304.587 2000 1 815
22 0 3 655 727 1 1 "normal" 770 468 283.383 2000 1 611
22 0 4 796 455 1 1 "normal" 1064 527 277.503 2000 1 763
22 0 5 1045 526 1 1 "normal" 782 628 282.087 2000 1 1080
